packed_regions
region=0 dx=-335 dy=-88 x=40.09 y=178.77 w=82 h=82 rot=False alias=32
region=1 dx=-163 dy=38 x=40.73 y=259.32 w=57 h=91 rot=False alias=44
region=2 dx=-153 dy=-124 x=241.29 y=98.33 w=63 h=52 rot=False alias=11
region=3 dx=-89 dy=99 x=155.13 y=326.62 w=55 h=67 rot=False alias=48
region=4 dx=-90 dy=216 x=40.25 y=350.52 w=62 h=74 rot=False alias=19
region=5 dx=-222 dy=30 x=97.61 y=259.86 w=60 h=67 rot=False alias=42
region=6 dx=-182 dy=-228 x=106.29 y=41.54 w=91 h=58 rot=False alias=80
region=7 dx=-187 dy=-20 x=122.41 y=162.44 w=69 h=57 rot=False alias=25
region=8 dx=-194 dy=-145 x=197.53 y=41.96 w=67 h=57 rot=False alias=98
region=9 dx=-198 dy=-123 x=106.51 y=99.66 w=74 h=63 rot=False alias=65
region=10 dx=-211 dy=242 x=40.22 y=424.24 w=77 h=58 rot=False alias=35
region=11 dx=-250 dy=60 x=102.34 y=326.97 w=53 h=74 rot=False alias=82
region=12 dx=77 dy=179 x=214.77 y=362.86 w=46 h=64 rot=False alias=90
region=13 dx=-165 dy=-1 x=306.38 y=274.65 w=51 h=52 rot=False alias=93
region=14 dx=73 dy=36 x=260.42 y=346.47 w=41 h=70 rot=False alias=92
region=15 dx=118 dy=-128 x=362.16 y=144.96 w=54 h=48 rot=False alias=60
region=16 dx=-154 dy=283 x=163.22 y=452.19 w=73 h=40 rot=False alias=69
region=17 dx=74 dy=-24 x=209.04 y=292.65 w=43 h=71 rot=False alias=39
region=18 dx=-188 dy=22 x=253.11 y=291.96 w=53 h=55 rot=False alias=4
region=19 dx=17 dy=150 x=290.31 y=416.37 w=51 h=55 rot=False alias=86
region=20 dx=5 dy=-173 x=416.52 y=141.52 w=57 h=39 rot=False alias=51
region=21 dx=-37 dy=-278 x=264.83 y=41.46 w=60 h=53 rot=False alias=2
region=22 dx=234 dy=-48 x=423.75 y=180.64 w=38 h=54 rot=False alias=85
region=23 dx=-115 dy=19 x=157.83 y=240.91 w=53 h=58 rot=False alias=57
region=24 dx=61 dy=96 x=341.24 y=409.01 w=48 h=51 rot=False alias=13
region=25 dx=-100 dy=106 x=236.01 y=426.73 w=55 h=53 rot=False alias=12
region=26 dx=210 dy=-261 x=355.76 y=86.95 w=46 h=58 rot=False alias=28
region=27 dx=-138 dy=27 x=282.63 y=211.25 w=47 h=62 rot=False alias=8
region=28 dx=-60 dy=-240 x=495.65 y=41.76 w=56 h=39 rot=False alias=23
region=29 dx=42 dy=-176 x=179.77 y=99.41 w=61 h=63 rot=False alias=36
region=30 dx=72 dy=113 x=442.15 y=334.97 w=35 h=53 rot=False alias=74
region=31 dx=139 dy=36 x=328.47 y=196.30 w=51 h=51 rot=False alias=67
region=32 dx=-41 dy=-72 x=210.85 y=241.27 w=60 h=51 rot=False alias=55
region=33 dx=188 dy=233 x=345.31 y=325.14 w=41 h=58 rot=False alias=5
region=34 dx=-117 dy=-27 x=252.58 y=150.51 w=50 h=62 rot=False alias=73
region=35 dx=-100 dy=-100 x=508.70 y=178.22 w=35 h=45 rot=False alias=87
region=36 dx=190 dy=-240 x=401.58 y=71.53 w=36 h=70 rot=False alias=95
region=37 dx=-52 dy=-41 x=457.05 y=234.13 w=42 h=48 rot=False alias=22
region=38 dx=62 dy=-239 x=190.01 y=162.03 w=61 h=57 rot=False alias=31
region=39 dx=81 dy=-149 x=323.06 y=41.16 w=60 h=45 rot=False alias=10
region=40 dx=132 dy=72 x=301.56 y=346.86 w=44 h=63 rot=False alias=6
region=41 dx=-89 dy=-8 x=380.37 y=192.32 w=44 h=51 rot=False alias=84
region=42 dx=-45 dy=228 x=452.13 y=452.32 w=47 h=41 rot=False alias=37
region=43 dx=-274 dy=208 x=163.80 y=393.94 w=52 h=59 rot=False alias=53
region=44 dx=192 dy=168 x=408.53 y=348.67 w=34 h=61 rot=False alias=70
region=45 dx=196 dy=93 x=301.50 y=149.40 w=61 h=47 rot=False alias=64
region=46 dx=-84 dy=-81 x=474.03 y=141.90 w=46 h=37 rot=False alias=45
region=47 dx=-114 dy=25 x=357.43 y=247.89 w=53 h=43 rot=False alias=89
region=48 dx=109 dy=-183 x=638.48 y=41.89 w=42 h=35 rot=False alias=61
region=49 dx=236 dy=13 x=341.50 y=460.96 w=61 h=37 rot=False alias=79
region=50 dx=333 dy=-243 x=550.02 y=41.83 w=46 h=38 rot=False alias=14
region=51 dx=-114 dy=-37 x=410.18 y=243.51 w=47 h=44 rot=False alias=9
region=52 dx=-41 dy=-49 x=543.82 y=176.42 w=39 h=38 rot=False alias=38
region=53 dx=115 dy=-230 x=437.87 y=71.62 w=57 h=39 rot=False alias=91
region=54 dx=30 dy=-148 x=638.61 y=76.73 w=36 h=37 rot=False alias=78
region=55 dx=386 dy=-273 x=461.50 y=180.53 w=46 h=43 rot=False alias=62
region=56 dx=333 dy=365 x=408.50 y=409.39 w=46 h=43 rot=False alias=56
region=57 dx=49 dy=-89 x=498.14 y=223.46 w=43 h=42 rot=False alias=1
region=58 dx=239 dy=249 x=408.57 y=452.07 w=43 h=45 rot=False alias=75
