packed_regions
region=0 dx=-201 dy=-294 x=20.95 y=20.65 w=74 h=63 rot=False alias=9
region=1 dx=-425 dy=-110 x=20.26 y=83.37 w=69 h=64 rot=False alias=66
region=2 dx=-331 dy=-201 x=89.56 y=83.99 w=72 h=58 rot=False alias=1
region=3 dx=-131 dy=-233 x=94.32 y=20.76 w=67 h=62 rot=False alias=8
region=4 dx=-68 dy=169 x=273.38 y=457.13 w=63 h=51 rot=False alias=32
region=5 dx=-301 dy=-202 x=20.08 y=147.15 w=75 h=58 rot=False alias=64
region=6 dx=-27 dy=235 x=336.67 y=457.64 w=60 h=53 rot=False alias=100
region=7 dx=-43 dy=-102 x=254.02 y=288.84 w=59 h=55 rot=False alias=42
region=8 dx=-481 dy=-19 x=73.45 y=330.93 w=53 h=68 rot=False alias=120
region=9 dx=-198 dy=-189 x=418.74 y=160.25 w=50 h=51 rot=False alias=84
region=10 dx=-275 dy=52 x=20.93 y=400.90 w=60 h=62 rot=False alias=49
region=11 dx=-310 dy=233 x=20.41 y=462.89 w=64 h=56 rot=False alias=102
region=12 dx=-409 dy=-26 x=20.38 y=205.02 w=65 h=64 rot=False alias=110
region=13 dx=-25 dy=234 x=340.77 y=397.26 w=61 h=45 rot=False alias=114
region=14 dx=-190 dy=11 x=204.33 y=232.07 w=61 h=55 rot=False alias=113
region=15 dx=-136 dy=45 x=265.38 y=201.29 w=47 h=62 rot=False alias=81
region=16 dx=-217 dy=-187 x=274.66 y=130.68 w=64 h=45 rot=False alias=88
region=17 dx=-215 dy=-174 x=338.08 y=115.81 w=51 h=55 rot=False alias=54
region=18 dx=-55 dy=104 x=84.66 y=458.81 w=68 h=51 rot=False alias=23
region=19 dx=-145 dy=-106 x=180.83 y=86.35 w=54 h=56 rot=False alias=106
region=20 dx=-276 dy=-136 x=161.66 y=20.78 w=46 h=66 rot=False alias=14
region=21 dx=-74 dy=121 x=183.34 y=376.52 w=60 h=56 rot=False alias=35
region=22 dx=-92 dy=-308 x=327.46 y=20.66 w=63 h=43 rot=False alias=105
region=23 dx=-383 dy=176 x=80.23 y=397.29 w=57 h=61 rot=False alias=78
region=24 dx=-509 dy=102 x=20.40 y=329.16 w=53 h=71 rot=False alias=18
region=25 dx=-98 dy=-46 x=457.09 y=211.28 w=50 h=46 rot=False alias=5
region=26 dx=106 dy=-286 x=288.96 y=64.89 w=56 h=51 rot=False alias=45
region=27 dx=-146 dy=63 x=145.16 y=253.33 w=59 h=58 rot=False alias=31
region=28 dx=-299 dy=-239 x=224.46 y=142.83 w=50 h=60 rot=False alias=25
region=29 dx=-109 dy=-150 x=355.51 y=231.54 w=45 h=61 rot=False alias=50
region=30 dx=-308 dy=-104 x=157.36 y=182.14 w=67 h=51 rot=False alias=93
region=31 dx=-91 dy=-353 x=398.14 y=62.98 w=50 h=52 rot=False alias=86
